main_speaker,views,title,url,Funny,Beautiful,Ingenious,Courageous,Longwinded,Confusing,Informative,Fascinating,Unconvincing,Persuasive,Jaw-dropping,OK,Obnoxious,Inspiring
Esther Perel,8218896,Rethinking infidelity ... a talk for anyone who has ever loved,"https://www.ted.com/talks/esther_perel_rethinking_infidelity_a_talk_for_anyone_who_has_ever_loved
",310,426,359,761,40,33,2479,2199,62,877,361,141,21,1760
Chris Burkard,1773697,The joy of surfing in ice-cold water,"https://www.ted.com/talks/chris_burkard_the_joy_of_surfing_in_ice_cold_water
",41,381,18,359,13,3,22,402,12,14,140,51,10,593
Jeffrey Brown,1049652,How we cut youth violence in Boston by 79 percent,"https://www.ted.com/talks/jeffrey_brown_how_we_cut_youth_violence_in_boston_by_79_percent
",19,124,26,226,26,1,198,86,12,284,21,46,0,697
Yassmin Abdel-Magied,1863929,What does my headscarf mean to you?,"https://www.ted.com/talks/yassmin_abdel_magied_what_does_my_headscarf_mean_to_you
",174,328,57,279,50,31,551,310,84,462,55,82,59,1135
Sara Seager,1365646,The search for planets beyond our solar system,"https://www.ted.com/talks/sara_seager_the_search_for_planets_beyond_our_solar_system
",11,72,66,28,26,11,409,302,16,30,21,52,10,179
Jimmy Nelson,1339843,Gorgeous portraits of the world's vanishing people,"https://www.ted.com/talks/jimmy_nelson_gorgeous_portraits_of_the_world_s_vanishing_people
",77,415,37,38,43,10,67,302,8,9,35,33,9,382
Bill Gross,3811316,The single biggest reason why startups succeed,"https://www.ted.com/talks/bill_gross_the_single_biggest_reason_why_startups_succeed
",10,126,102,42,8,11,1797,223,84,412,27,201,5,722
Laura Schulz,1617977,The surprisingly logical minds of babies,"https://www.ted.com/talks/laura_schulz_the_surprisingly_logical_minds_of_babies
",92,158,74,6,23,14,398,313,21,68,57,42,0,148
Tony Fadell,2006050,The first secret of design is ... noticing,"https://www.ted.com/talks/tony_fadell_the_first_secret_of_design_is_noticing
",98,178,93,38,62,15,444,181,34,139,12,146,8,597
Trevor Aaronson,1252289,How this FBI strategy is actually creating US-based terrorists,"https://www.ted.com/talks/trevor_aaronson_how_this_fbi_strategy_is_actually_creating_us_based_terrorists
",10,14,12,265,2,13,481,145,63,96,223,39,20,5
Linda Cliatt-Wayman,1617292,"How to fix a broken school? Lead fearlessly, love hard","https://www.ted.com/talks/linda_cliatt_wayman_how_to_fix_a_broken_school_lead_fearlessly_love_hard
",31,386,34,677,16,7,179,270,9,231,171,42,6,1677
Suki Kim,3460338,This is what it's like to go undercover in North Korea,"https://www.ted.com/talks/suki_kim_this_is_what_it_s_like_to_go_undercover_in_north_korea
",14,326,15,559,15,28,552,296,49,45,126,108,33,398
Sarah Jones,1531675,"One woman, five characters, and a sex lesson from the future","https://www.ted.com/talks/sarah_jones_one_woman_five_characters_and_a_sex_lesson_from_the_future
",427,96,306,85,29,16,106,158,27,48,46,88,12,85
Donald Hoffman,2471075,Do we see reality as it is?,"https://www.ted.com/talks/donald_hoffman_do_we_see_reality_as_it_is
",94,75,173,53,65,112,510,952,81,188,198,77,18,322
Lee Mokobe,1175629,A powerful poem about what it feels like to be transgender,"https://www.ted.com/talks/lee_mokobe_a_powerful_poem_about_what_it_feels_like_to_be_transgender
",10,388,26,486,6,15,46,99,10,42,87,21,19,469
Rana el Kaliouby,1407692,This app knows how you feel -- from the look on your face,"https://www.ted.com/talks/rana_el_kaliouby_this_app_knows_how_you_feel_from_the_look_on_your_face
",67,59,167,33,12,9,373,338,20,40,32,100,16,209
Margaret Heffernan,2362727,Forget the pecking order at work,"https://www.ted.com/talks/margaret_heffernan_why_it_s_time_to_forget_the_pecking_order_at_work
",71,450,201,197,20,14,875,508,24,483,60,68,6,1588
Steve Silberman,1476377,The forgotten history of autism,"https://www.ted.com/talks/steve_silberman_the_forgotten_history_of_autism
",7,264,37,67,33,10,981,299,75,313,22,78,16,289
LaToya Ruby Frazier,1165313,A visual history of inequality in industrial America,"https://www.ted.com/talks/latoya_ruby_frazier_a_visual_history_of_inequality_in_industrial_america
",0,10,11,83,9,46,150,25,36,55,21,57,18,50
Joey Alexander,2155099,An 11-year-old prodigy performs old-school jazz,"https://www.ted.com/talks/joey_alexander_an_11_year_old_prodigy_performs_old_school_jazz
",9,697,53,10,20,7,6,371,10,2,311,84,4,352
Roxane Gay,1453205,Confessions of a bad feminist,"https://www.ted.com/talks/roxane_gay_confessions_of_a_bad_feminist
",175,226,31,356,13,18,100,129,44,116,13,29,31,613
Chip Kidd,1711049,The art of first impressions -- in design and life,"https://www.ted.com/talks/chip_kidd_the_art_of_first_impressions_in_design_and_life
",396,53,94,7,61,18,190,148,28,66,4,134,26,191
Maryn McKenna,1532875,What do we do when antibiotics don't work any more?,"https://www.ted.com/talks/maryn_mckenna_what_do_we_do_when_antibiotics_don_t_work_any_more
",8,21,46,82,54,22,996,248,37,436,124,70,33,260
Chris Urmson,2042978,How a driverless car sees the road,"https://www.ted.com/talks/chris_urmson_how_a_driverless_car_sees_the_road
",39,92,161,16,14,13,568,430,18,105,85,61,1,182
Dame Ellen MacArthur,1566602,The surprising thing I learned sailing solo around the world,"https://www.ted.com/talks/dame_ellen_macarthur_the_surprising_thing_i_learned_sailing_solo_around_the_world
",3,129,115,276,18,4,373,239,31,214,67,40,2,703
Jimmy Carter,1388335,Why I believe the mistreatment of women is the number one human rights abuse ,"https://www.ted.com/talks/jimmy_carter_why_i_believe_the_mistreatment_of_women_is_the_number_one_human_rights_abuse
",21,258,6,465,19,9,688,96,16,417,102,58,16,556
Latif Nasser,1531606,The amazing story of the man who gave us modern pain relief,"https://www.ted.com/talks/latif_nasser_the_amazing_story_of_the_man_who_gave_us_modern_pain_relief
",14,297,9,69,48,21,369,188,28,38,14,105,12,383
Gayle Tzemach Lemmon,1139487,Meet the women fighting on the front lines of an American war,"https://www.ted.com/talks/gayle_tzemach_lemmon_meet_the_first_women_to_fight_on_the_front_lines_of_an_american_war
",19,160,5,129,14,14,85,34,34,26,22,43,31,269
Rajiv Maheswaran,1905680,The math behind basketball's wildest moves,"https://www.ted.com/talks/rajiv_maheswaran_the_math_behind_basketball_s_wildest_moves
",44,20,82,7,9,25,253,251,22,22,34,77,3,58
Memory Banda,1241223,A warrior’s cry against child marriage,"https://www.ted.com/talks/memory_banda_a_warrior_s_cry_against_child_marriage
",16,320,3,454,4,3,126,61,4,97,43,20,8,504
Johann Hari,7841509,Everything you think you know about addiction is wrong,"https://www.ted.com/talks/johann_hari_everything_you_think_you_know_about_addiction_is_wrong
",131,2247,488,1112,94,21,3734,1849,106,1897,497,167,15,4219
Ash Beckham,1458290,When to take a stand -- and when to let it go,"https://www.ted.com/talks/ash_beckham_when_to_take_a_stand_and_when_to_let_it_go
",303,240,15,368,17,15,134,77,42,157,15,41,27,591
Noy Thrupkaew,1591696,Human trafficking is all around you. This is how it works,"https://www.ted.com/talks/noy_thrupkaew_human_trafficking_is_all_around_you_this_is_how_it_works
",7,150,9,281,28,17,386,64,25,184,61,40,9,267
Aspen Baker,1588477,A better way to talk about abortion,"https://www.ted.com/talks/aspen_baker_a_better_way_to_talk_about_abortion
",13,120,16,243,29,24,135,43,93,67,8,90,19,251
Alec Soth + Stacey Baker,1780746,This is what enduring love looks like,"https://www.ted.com/talks/alec_soth_stacey_baker_this_is_what_enduring_love_looks_like
",117,440,24,22,43,15,37,144,86,10,6,252,12,236
Salvatore Iaconesi,1126129,What happened when I open-sourced my brain cancer,"https://www.ted.com/talks/salvatore_iaconesi_what_happened_when_i_open_sourced_my_brain_cancer
",23,90,35,98,5,9,81,49,16,15,3,61,3,169
Marlene Zuk,1441565,What we learn from insects' sex lives,"https://www.ted.com/talks/marlene_zuk_what_we_learn_from_insects_kinky_sex_lives
",334,63,22,6,26,7,322,187,19,36,13,97,13,75
Jon Ronson,2603397,When online shaming goes too far,"https://www.ted.com/talks/jon_ronson_what_happens_when_online_shaming_spirals_out_of_control
",33,48,16,291,7,5,341,294,35,250,70,34,7,182
Alaa Murabit,2312512,What my religion really says about women,"https://www.ted.com/talks/alaa_murabit_what_my_religion_really_says_about_women
",51,507,27,537,21,21,336,162,98,185,9,57,36,700
John Green,3361105,The nerd's guide to learning everything online,"https://www.ted.com/talks/john_green_the_nerd_s_guide_to_learning_everything_online
",352,314,119,54,160,97,627,377,109,214,27,341,32,794
eL Seed,1398751,Street art with a message of hope and peace,"https://www.ted.com/talks/el_seed_street_art_with_a_message_of_hope_and_peace
",29,385,43,141,13,9,63,111,16,17,24,83,15,295
Yuval Noah Harari,2556755,What explains the rise of humans?,"https://www.ted.com/talks/yuval_noah_harari_what_explains_the_rise_of_humans
",176,117,682,153,55,29,1067,1334,105,530,120,187,46,562
Benedetta Berti,1947342,The surprising way groups like ISIS stay in power,"https://www.ted.com/talks/benedetta_berti_the_surprising_way_groups_like_isis_stay_in_power
",21,23,90,116,31,58,1082,311,171,492,35,248,63,129
Rich Benjamin,1999097,My road trip through the whitest towns in America,"https://www.ted.com/talks/rich_benjamin_my_road_trip_through_the_whitest_towns_in_america
",493,39,53,363,27,22,397,241,86,92,18,91,67,257
Matt Kenyon,829988,A secret memorial for civilian casualties,"https://www.ted.com/talks/matt_kenyon_how_i_snuck_a_memorial_for_iraqi_civilians_into_the_us_government
",20,19,82,98,19,7,24,35,22,5,9,39,11,88
Patience Mthunzi,1203056,Could we cure HIV with lasers?,"https://www.ted.com/talks/patience_mthunzi_could_we_cure_hiv_with_lasers
",16,8,92,26,0,1,222,105,27,14,24,44,3,64
Alix Generous,1591495,How I learned to communicate my inner life with Asperger's,"https://www.ted.com/talks/alix_generous_how_i_learned_to_communicate_my_inner_life_with_asperger_s
",407,326,24,437,3,8,213,145,1,24,14,28,6,633
Manuel Lima,1710873,A visual history of human knowledge,"https://www.ted.com/talks/manuel_lima_a_visual_history_of_human_knowledge
",18,208,102,4,66,24,378,284,56,47,17,200,9,181
Tony Wyss-Coray,1488893,"How young blood might help reverse aging. Yes, really","https://www.ted.com/talks/tony_wyss_coray_how_young_blood_might_help_reverse_aging_yes_really
",5,24,124,24,11,7,362,564,13,52,88,35,6,189
Christopher Soghoian,1266485,How to avoid surveillance ... with the phone in your pocket,"https://www.ted.com/talks/christopher_soghoian_a_brief_history_of_phone_wiretapping_and_how_to_avoid_it
",16,7,9,55,36,16,470,63,94,127,28,134,13,23
Dustin Yellin,1671043,A journey through the mind of an artist,"https://www.ted.com/talks/dustin_yellin_a_journey_through_the_mind_of_an_artist
",170,169,104,7,14,45,37,293,36,9,26,96,26,147
Jim Al-Khalili,1503884,How quantum biology might explain life’s biggest questions,"https://www.ted.com/talks/jim_al_khalili_how_quantum_biology_might_explain_life_s_biggest_questions
",18,132,114,19,28,24,436,559,21,59,91,63,7,137
Seth Berkley,990084,The troubling reason why vaccines are made too late ... if they're made at all,"https://www.ted.com/talks/seth_berkley_the_troubling_reason_why_vaccines_are_made_too_late_if_they_re_made_at_all
",5,7,10,38,3,1,236,21,9,73,9,46,2,37
Robin Murphy,983682,These robots come to the rescue after a disaster,"https://www.ted.com/talks/robin_murphy_these_robots_come_to_the_rescue_after_a_disaster
",13,8,42,9,7,6,183,91,17,36,8,64,14,31
Yves Morieux,1852632,How too many rules at work keep you from getting things done,"https://www.ted.com/talks/yves_morieux_how_too_many_rules_at_work_keep_you_from_getting_things_done
",72,196,135,85,68,31,314,288,42,358,26,62,6,673
Wendy Freedman,1272185,This telescope might show us the beginning of the universe,"https://www.ted.com/talks/wendy_freedman_this_new_telescope_might_show_us_the_beginning_of_the_universe
",9,67,24,4,8,0,264,237,4,18,39,43,1,162
Elizabeth Nyamayaro,1272389,An invitation to men who want a better world for women,"https://www.ted.com/talks/elizabeth_nyamayaro_an_invitation_to_men_who_want_a_better_world_for_women
",13,147,8,113,12,6,112,38,12,70,10,117,11,294
Jamie Bartlett,2061368,How the mysterious dark net is going mainstream,"https://www.ted.com/talks/jamie_bartlett_how_the_mysterious_dark_net_is_going_mainstream
",170,39,115,73,8,20,1057,601,13,151,163,48,3,104
Jim Simons,1705702,The mathematician who cracked Wall Street,"https://www.ted.com/talks/jim_simons_a_rare_interview_with_the_mathematician_who_cracked_wall_street
",13,18,43,15,34,17,193,168,10,23,10,74,5,246
Alan Eustace,1437261,I leapt from the stratosphere. Here's how I did it,"https://www.ted.com/talks/alan_eustace_i_leapt_from_the_stratosphere_here_s_how_i_did_it
",19,67,57,297,3,9,105,185,8,6,108,58,11,251
Barry Schwartz,2527133,The way we think about work is broken,"https://www.ted.com/talks/barry_schwartz_the_way_we_think_about_work_is_broken
",38,73,67,70,38,51,392,215,135,287,17,218,18,526
BJ Miller,6214152,What really matters at the end of life,"https://www.ted.com/talks/bj_miller_what_really_matters_at_the_end_of_life
",24,2462,96,1331,74,29,612,418,29,409,78,131,15,3028
Billie Jean King,947562,This tennis icon paved the way for women in sports,"https://www.ted.com/talks/billie_jean_king_this_tennis_icon_paved_the_way_for_women_in_sports
",47,12,7,61,1,0,29,22,1,20,1,22,7,111
David Rothkopf,1215662,How fear drives American politics,"https://www.ted.com/talks/david_rothkopf_how_fear_drives_american_politics
",16,19,21,75,9,10,310,96,44,228,26,92,13,162
Mia Birdsong,1612561,The story we tell about poverty isn't true,"https://www.ted.com/talks/mia_birdsong_the_story_we_tell_about_poverty_isn_t_true
",9,371,34,208,21,14,157,57,33,196,13,50,15,638
Michael Kimmel,1447861,Why gender equality is good for everyone — men included,"https://www.ted.com/talks/michael_kimmel_why_gender_equality_is_good_for_everyone_men_included
",438,148,76,98,55,6,391,156,70,306,38,76,45,581
Mandy Len Catron,3098476,Falling in love is the easy part,"https://www.ted.com/talks/mandy_len_catron_falling_in_love_is_the_easy_part
",277,431,36,255,94,36,319,429,71,87,24,380,41,430
Scott Dinsmore,4811180,How to find work you love,"https://www.ted.com/talks/scott_dinsmore_how_to_find_work_you_love
",99,173,82,503,127,82,347,302,85,597,73,258,31,2684
Sakena Yacoobi,1371548,How I stopped the Taliban from shutting down my school,"https://www.ted.com/talks/sakena_yacoobi_how_i_stopped_the_taliban_from_shutting_down_my_school
",100,322,32,684,5,2,180,183,5,71,233,27,1,716
Frances Larson,1108371,Why public beheadings get millions of views,"https://www.ted.com/talks/frances_larson_why_public_beheadings_get_millions_of_views
",6,20,8,31,31,19,194,79,42,82,36,50,18,19
Mary Robinson,1126459,Why climate change is a threat to human rights,"https://www.ted.com/talks/mary_robinson_why_climate_change_is_a_threat_to_human_rights
",12,28,12,32,54,18,176,52,23,118,14,79,12,196
Robin Morgan,1004539,4 powerful poems about Parkinson's and growing older,"https://www.ted.com/talks/robin_morgan_4_powerful_poems_about_parkinson_s_and_growing_older
",14,245,3,91,6,5,9,26,1,4,15,28,4,109
Samuel Cohen,1506693,Alzheimer's is not normal aging — and we can cure it,"https://www.ted.com/talks/samuel_cohen_alzheimer_s_is_not_normal_aging_and_we_can_cure_it
",3,27,31,70,4,9,628,109,19,284,32,70,3,338
Taiye Selasi,2141928,"Don't ask where I'm from, ask where I'm a local","https://www.ted.com/talks/taiye_selasi_don_t_ask_where_i_m_from_ask_where_i_m_a_local
",14,504,248,114,32,26,338,388,30,273,39,66,13,1128
Mac Stone,1155507,Stunning photos of the endangered Everglades,"https://www.ted.com/talks/mac_stone_stunning_photos_of_the_endangered_everglades
",12,337,5,77,2,6,188,163,3,131,28,18,9,318
Martin Pistorius,2094497,How my mind came back to life — and no one knew,"https://www.ted.com/talks/martin_pistorius_how_my_mind_came_back_to_life_and_no_one_knew
",9,367,19,608,3,4,126,254,0,25,216,39,0,1035
Emilie Wapnick,4456309,Why some of us don't have one true calling,"https://www.ted.com/talks/emilie_wapnick_why_some_of_us_don_t_have_one_true_calling
",277,927,525,704,34,14,932,1118,65,531,196,152,24,4572
Alice Bows-Larkin,1158020,Climate change is happening. Here's how we adapt,"https://www.ted.com/talks/alice_bows_larkin_we_re_too_late_to_prevent_climate_change_here_s_how_we_adapt
",6,33,20,44,20,16,291,29,44,137,19,51,20,69
Siddhartha Mukherjee,1294952,"Soon we'll cure diseases with a cell, not a pill","https://www.ted.com/talks/siddhartha_mukherjee_soon_we_ll_cure_diseases_with_a_cell_not_a_pill
",5,14,76,11,19,11,316,174,20,79,23,47,8,143
Neri Oxman,1607427,Design at the intersection of technology and biology,"https://www.ted.com/talks/neri_oxman_design_at_the_intersection_of_technology_and_biology
",9,209,266,22,12,17,267,478,10,21,180,29,20,368
Sandrine Thuret,4615013,You can grow new brain cells. Here's how,"https://www.ted.com/talks/sandrine_thuret_you_can_grow_new_brain_cells_here_s_how
",90,185,176,48,27,45,2265,1533,19,413,134,144,6,658
Teitur,1034518,Home is a song I've always remembered,"https://www.ted.com/talks/teitur_home_is_a_song_i_ve_always_remembered
",3,306,6,11,6,14,12,54,6,5,4,30,5,110
Michael Green,1141254,How we can make the world a better place by 2030,"https://www.ted.com/talks/michael_green_how_we_can_make_the_world_a_better_place_by_2030
",9,30,40,43,15,15,421,151,38,117,16,84,3,413
Vijay Kumar,1349253,The future of flying robots,"https://www.ted.com/talks/vijay_kumar_the_future_of_flying_robots
",43,147,151,7,4,3,268,244,8,16,45,67,4,243
Alyson McGregor,1414721,Why medicine often has dangerous side effects for women,"https://www.ted.com/talks/alyson_mcgregor_why_medicine_often_has_dangerous_side_effects_for_women
",10,34,41,66,38,7,678,179,20,237,54,47,9,151
Anders Fjellberg,1220746,Two nameless bodies washed up on the beach. Here are their stories,"https://www.ted.com/talks/anders_fjellberg_two_nameless_bodies_washed_up_on_the_beach_here_are_their_stories
",6,40,10,222,1,3,304,77,8,82,72,36,7,198
Meklit Hadero,996127,The unexpected beauty of everyday sounds,"https://www.ted.com/talks/meklit_hadero_the_unexpected_beauty_of_everyday_sounds
",64,500,64,9,8,5,85,268,10,24,26,40,1,317
Will Potter,2507956,The secret US prisons you've never heard of before,"https://www.ted.com/talks/will_potter_the_secret_us_prisons_you_ve_never_heard_of_before
",20,13,13,618,21,6,569,127,37,106,215,55,40,177
Jennifer Doudna,1936760, How CRISPR lets us edit our DNA,"https://www.ted.com/talks/jennifer_doudna_we_can_now_edit_our_dna_but_let_s_do_it_wisely
",5,103,148,78,18,15,583,453,15,145,183,52,12,155
Tea Uglow,1613847,An Internet without screens might look like this,"https://www.ted.com/talks/tom_uglow_an_internet_without_screens_might_look_like_this
",61,68,83,4,45,26,245,111,89,46,16,115,17,266
Francesco Sauro,1418492,"Deep under the Earth's surface, discovering beauty and science","https://www.ted.com/talks/francesco_sauro_deep_under_the_earth_s_surface_discovering_beauty_and_science
",11,253,19,46,24,12,162,355,9,19,41,63,2,68
Hilary Cottam,684300,Social services are broken. How we can fix them,"https://www.ted.com/talks/hilary_cottam_social_services_are_broken_how_we_can_fix_them
",8,30,38,43,16,14,185,29,12,131,14,11,1,289
Cesar Harada,1625784,How I teach kids to love science,"https://www.ted.com/talks/cesar_harada_how_i_teach_kids_to_love_science
",36,73,116,64,7,7,217,175,9,81,22,44,0,421
Christine Sun Kim,1242903,The enchanting music of sign language,"https://www.ted.com/talks/christine_sun_kim_the_enchanting_music_of_sign_language
",84,383,37,69,6,7,183,207,0,28,21,17,0,344
Mathias Jud,958480,Art that lets you talk back to NSA spies,"https://www.ted.com/talks/mathias_jud_art_that_lets_you_talk_back_to_nsa_spies
",62,15,61,84,12,12,100,42,16,28,5,35,10,114
Daniel Levitin,9163813,How to stay calm when you know you'll be stressed,"https://www.ted.com/talks/daniel_levitin_how_to_stay_calm_when_you_know_you_ll_be_stressed
",115,341,109,64,100,76,1175,290,194,359,40,479,34,365
Nancy Lublin,780116,How data from a crisis text line is saving lives,"https://www.ted.com/talks/nancy_lublin_the_heartbreaking_text_that_inspired_a_crisis_help_line
",41,188,71,122,0,0,153,88,5,40,62,24,15,411
Melissa Fleming,1502400,A boat carrying 500 refugees sunk at sea. The story of two survivors,"https://www.ted.com/talks/melissa_fleming_a_boat_carrying_500_refugees_sunk_at_sea_the_story_of_two_survivors
",19,377,7,220,17,10,160,64,20,166,67,28,13,481
Patrícia Medici,1296514,The coolest animal you know nothing about ... and how we can save it,"https://www.ted.com/talks/patricia_medici_the_coolest_animal_you_know_nothing_about_and_how_we_can_save_it
",23,171,7,128,11,10,239,154,961,93,8,59,4,248
Harald Haas,1879260,Forget Wi-Fi. Meet the new Li-Fi Internet,"https://www.ted.com/talks/harald_haas_a_breakthrough_new_kind_of_wireless_internet
",13,39,323,13,4,11,557,369,42,35,182,66,9,275
Kaki King,1365169,A musical escape into a world of light and color,"https://www.ted.com/talks/kaki_king_a_musical_escape_into_a_world_of_light_and_color
",16,317,64,3,16,9,9,147,36,3,44,81,13,143
Jenni Chang and Lisa Dazols,1609136,This is what LGBT life is like around the world,"https://www.ted.com/talks/jenni_chang_and_lisa_dazols_this_is_what_lgbt_life_is_like_around_the_world
",24,255,8,199,5,5,180,36,29,20,8,42,12,277
Andreas Ekström,1396735,The moral bias behind your search results,"https://www.ted.com/talks/andreas_ekstrom_the_moral_bias_behind_your_search_results
",13,19,51,92,13,10,463,147,20,187,41,46,20,144
Chelsea Shields,1452861,How I'm working for change inside my church,"https://www.ted.com/talks/chelsea_shields_how_i_m_working_for_change_inside_my_church
",7,116,21,228,42,43,141,50,134,101,22,50,60,232
Jean-Paul Mari,762041,The chilling aftershock of a brush with death,"https://www.ted.com/talks/jean_paul_mari_the_chilling_aftershock_of_a_brush_with_death
",5,30,3,164,20,11,114,86,19,49,25,17,6,135
Josh Luber,1799799,Why sneakers are a great investment,"https://www.ted.com/talks/josh_luber_why_sneakers_are_a_great_investment
",221,21,96,13,15,8,394,319,31,50,62,45,31,54
Nonny de la Peña,1202223,The future of news? Virtual reality,"https://www.ted.com/talks/nonny_de_la_pena_the_future_of_news_virtual_reality
",3,27,58,28,6,7,169,81,38,60,30,48,8,83
Anote Tong,1054718,My country will be underwater soon -- unless we work together,"https://www.ted.com/talks/anote_tong_my_country_will_be_underwater_soon_unless_we_work_together
",8,14,3,59,12,5,115,24,10,75,8,32,11,65
Carl Safina,1976994,What are animals thinking and feeling?,"https://www.ted.com/talks/carl_safina_what_are_animals_thinking_and_feeling
",43,889,36,110,23,24,596,537,26,515,95,56,18,744
Genevieve von Petzinger,3436514,Why are these 32 symbols found in ancient caves all over Europe?,"https://www.ted.com/talks/genevieve_von_petzinger_why_are_these_32_symbols_found_in_ancient_caves_all_over_europe
",11,189,50,13,63,28,461,435,28,66,22,158,17,111
Ann Morgan,1446267,My year reading a book from every country in the world,"https://www.ted.com/talks/ann_morgan_my_year_reading_a_book_from_every_country_in_the_world
",26,178,66,37,18,11,212,234,5,122,12,71,16,548
Regina Hartley,3185521,Why the best hire might not have the perfect resume,"https://www.ted.com/talks/regina_hartley_why_the_best_hire_might_not_have_the_perfect_resume
",240,168,96,262,19,21,598,297,49,634,35,135,15,2036
Marina Abramović,1626686,"An art made of trust, vulnerability and connection","https://www.ted.com/talks/marina_abramovic_an_art_made_of_trust_vulnerability_and_connection
",8,316,38,149,10,27,38,185,11,23,34,30,15,358
Kristen Marhaver,729236,How we're growing baby corals to rebuild reefs,"https://www.ted.com/talks/kristen_marhaver_how_we_re_growing_baby_corals_to_rebuild_reefs
",5,193,16,29,0,0,233,168,0,78,19,12,0,229
Jessica Shortall,1392660,The US needs paid family leave -- for the sake of its future,"https://www.ted.com/talks/jessica_shortall_how_america_fails_new_parents_and_their_babies
",15,30,12,241,4,7,275,43,29,239,58,37,2,180
Chieko Asakawa,1201029,How new technology helps blind people explore the world,"https://www.ted.com/talks/chieko_asakawa_how_new_technology_helps_blind_people_explore_the_world
",26,55,68,143,9,4,76,89,2,9,9,34,6,238
Guillaume Néry,857839,The exhilarating peace of freediving,"https://www.ted.com/talks/guillaume_nery_the_exhilarating_peace_of_freediving
",7,195,9,84,6,6,121,261,2,11,78,46,5,220
Jedidah Isler,1049263,The untapped genius that could change science for the better,"https://www.ted.com/talks/jedidah_isler_the_untapped_genius_that_could_change_science_for_the_better
",5,101,19,141,20,15,92,36,10,39,7,28,11,252
Danit Peleg,1582286,Forget shopping. Soon you'll download your new clothes,"https://www.ted.com/talks/danit_peleg_forget_shopping_soon_you_ll_download_your_new_clothes
",29,159,99,35,44,11,146,175,30,13,27,116,10,122
Raymond Wang,1690995,How germs travel on planes -- and how we can stop them,"https://www.ted.com/talks/raymond_wang_how_germs_travel_on_planes_and_how_we_can_stop_them
",7,5,285,15,7,4,359,134,19,100,23,62,8,173
Nicole Paris and Ed Cage,2852664,A beatboxing lesson from a father-daughter duo,"https://www.ted.com/talks/nicole_paris_and_ed_cage_a_beatboxing_lesson_from_a_father_daughter_duo
",210,86,49,9,11,10,17,106,13,4,71,57,52,43
Paul Greenberg,1488694,The four fish we're overeating -- and what to eat instead,"https://www.ted.com/talks/paul_greenberg_the_four_fish_we_re_overeating_and_what_to_eat_instead
",17,6,22,27,9,3,478,163,14,232,22,32,2,159
Lucianne Walkowicz,2004123,Let's not use Mars as a backup planet,"https://www.ted.com/talks/lucianne_walkowicz_let_s_not_use_mars_as_a_backup_planet
",46,106,76,75,13,43,347,267,39,292,35,102,9,370
Alison Killing,1453242,What happens when a city runs out of room for its dead,"https://www.ted.com/talks/alison_killing_what_happens_when_a_city_runs_out_of_room_for_its_dead
",69,24,16,17,12,23,224,61,12,18,6,86,6,12
Jane Fonda and Lily Tomlin,2269844,A hilarious celebration of lifelong female friendship,"https://www.ted.com/talks/jane_fonda_and_lily_tomlin_a_hilarious_celebration_of_lifelong_female_friendship
",367,275,12,122,22,18,121,64,26,51,4,57,25,477
António Guterres,1117165,Refugees have the right to be protected,"https://www.ted.com/talks/antonio_guterres_refugees_have_the_right_to_be_protected
",10,33,5,91,4,11,213,31,28,112,8,39,12,147
Rodrigo Bijou,1254964,Governments don't understand cyber warfare. We need hackers,"https://www.ted.com/talks/rodrigo_bijou_governments_don_t_understand_cyber_warfare_we_need_hackers
",14,11,21,72,14,31,316,68,52,122,9,76,17,74
Jason deCaires Taylor,1446673,"An underwater art museum, teeming with life","https://www.ted.com/talks/jason_decaires_taylor_an_underwater_art_museum_teeming_with_life
",27,492,114,16,17,7,105,191,9,88,50,24,14,334
Robert Waldinger,16601927,What makes a good life? Lessons from the longest study on happiness,"https://www.ted.com/talks/robert_waldinger_what_makes_a_good_life_lessons_from_the_longest_study_on_happiness
",140,3825,217,368,119,25,2868,2564,130,1661,259,251,31,8590
Harry Cliff,2291444,Have we reached the end of physics?,"https://www.ted.com/talks/harry_cliff_have_we_reached_the_end_of_physics
",25,70,42,23,11,26,529,389,26,69,100,57,11,119
Sebastian Wernicke,1468497,How to use data to make a hit TV show,"https://www.ted.com/talks/sebastian_wernicke_how_to_use_data_to_make_a_hit_tv_show
",86,30,35,21,29,15,471,196,48,114,8,97,4,150
Aomawa Shields,1526242,How we'll find life on other planets,"https://www.ted.com/talks/aomawa_shields_how_we_ll_find_life_on_other_planets
",26,176,34,34,8,11,284,156,27,25,16,99,30,270
David Sedlak,1013976,4 ways we can avoid a catastrophic drought,"https://www.ted.com/talks/david_sedlak_4_ways_we_can_avoid_a_catastrophic_drought
",4,16,37,9,10,1,265,37,10,109,9,26,1,95
James Veitch,20475972,This is what happens when you reply to spam email,"https://www.ted.com/talks/james_veitch_this_is_what_happens_when_you_reply_to_spam_email
",7731,229,1766,240,45,20,401,939,63,91,221,143,60,417
Tim Harford,2435682,How frustration can make us more creative,"https://www.ted.com/talks/tim_harford_how_messy_problems_can_inspire_creativity
",34,184,116,82,25,11,336,300,18,326,22,78,7,865
Melvin Russell,982439,"I love being a police officer, but we need reform","https://www.ted.com/talks/melvin_russell_i_love_being_a_police_officer_but_we_need_reform
",31,138,20,154,18,6,118,35,19,92,6,41,2,282
