main_speaker,views,title,url,Funny,Beautiful,Ingenious,Courageous,Longwinded,Confusing,Informative,Fascinating,Unconvincing,Persuasive,Jaw-dropping,OK,Obnoxious,Inspiring
Rory  Bremner,1112000,A one-man world summit,"https://www.ted.com/talks/rory_bremner_s_one_man_world_summit
",517,15,28,14,57,29,26,25,60,11,19,129,48,6
Marc Pachter,716979,The art of the interview,"https://www.ted.com/talks/marc_pachter_the_art_of_the_interview
",13,88,18,31,74,21,116,135,29,45,5,72,17,180
Thulasiraj Ravilla,297107,How low-cost eye care can be world-class,"https://www.ted.com/talks/thulasiraj_ravilla_how_low_cost_eye_care_can_be_world_class
",3,19,81,34,5,2,75,54,2,34,40,6,0,170
Shereen El Feki,483137,Pop culture in the Arab world,"https://www.ted.com/talks/shereen_el_feki_pop_culture_in_the_arab_world
",11,37,7,35,11,20,197,56,138,58,15,134,34,94
Loretta Napoleoni,639995,The intricate economics of terrorism,"https://www.ted.com/talks/loretta_napoleoni_the_intricate_economics_of_terrorism
",24,16,50,176,37,24,477,317,38,165,155,44,10,71
Ryan Lobo,541603,Photographing the hidden story,"https://www.ted.com/talks/ryan_lobo_through_the_lens_of_compassion
",3,143,4,176,12,5,66,92,13,39,29,32,5,305
Alexis Ohanian,2066733,How to make a splash in social media,"https://www.ted.com/talks/alexis_ohanian_how_to_make_a_splash_in_social_media
",705,51,168,47,17,13,325,221,47,250,33,105,21,322
Charles Anderson,553253,Dragonflies that fly across oceans,"https://www.ted.com/talks/charles_anderson_discovers_dragonflies_that_cross_oceans
",16,69,63,2,26,3,294,323,4,16,58,27,0,55
James Geary,819664,Metaphorically speaking,"https://www.ted.com/talks/james_geary_metaphorically_speaking
",65,59,111,3,42,11,402,265,44,101,17,154,16,153
Shaffi Mather,497172,A new way to fight corruption,"https://www.ted.com/talks/shaffi_mather_a_new_way_to_fight_corruption
",3,20,140,254,21,8,52,38,18,64,44,21,7,246
