main_speaker,views,city,country,continent,Funny,Beautiful,Ingenious,Courageous,Longwinded,Confusing,Informative,Fascinating,Unconvincing,Persuasive,Jaw-dropping,OK,Obnoxious,Inspiring
Jon Ronson,10167161,Cardiff,United Kingdom,Europe,580,170,259,227,86,70,684,1417,121,356,283,151,52,221
Antony Gormley,464213,City of Westminster,United Kingdom,Europe,2,57,14,0,28,17,5,50,26,6,6,29,12,68
Tristram Stuart,1471114,City of Westminster,United Kingdom,Europe,28,25,37,101,4,7,559,164,18,417,112,32,2,406
Sarah-Jayne Blakemore,2246203,Cambridge,United Kingdom,Europe,51,58,56,18,39,32,978,489,31,191,30,118,26,187
Ben Goldacre,2228138,London,United Kingdom,Europe,20,8,39,431,18,4,1126,211,15,831,485,46,5,125
Maurizio Seracini,725173,Florence,Italy,Europe,5,33,66,2,18,13,105,135,6,10,26,27,4,43
Marco Tempest,1965808,Zurich,Switzerland,Europe,222,150,242,10,14,11,22,456,60,13,552,88,26,53
Rory Stewart,852344,London,United Kingdom,Europe,6,7,15,67,44,10,123,38,86,181,12,63,20,140
Ellen 't Hoen,389194,Heerlen,Netherlands,Europe,0,8,13,4,10,8,74,8,32,42,4,16,4,24
Sue Austin,2052286,Birmingham,United Kingdom,Europe,15,341,76,283,7,10,30,212,14,36,188,52,10,589
Andy Puddicombe,8033595,Bristol,United Kingdom,Europe,410,561,197,134,79,48,1404,829,112,1228,73,384,13,3410
Cameron Russell,19787465,Cambridge,United Kingdom,Europe,302,924,101,2306,92,124,986,632,231,497,119,612,77,1617
Lee Cronin,987709,Dublin,Ireland,Europe,6,8,124,8,1,21,84,154,96,8,50,38,8,48
Edi Rama,595537,Tirana,Albania,Europe,11,90,89,95,11,12,72,82,25,87,28,13,6,303
Esther Perel,10524043,Antwerp,Belgium,Europe,1068,588,438,389,73,63,2253,2146,73,1205,270,174,37,2008
Andreas Schleicher,699088,Hamburg,Germany,Europe,13,5,25,23,12,4,280,77,24,170,13,30,8,119
Bono,1648677,Dublin,Ireland,Europe,35,92,6,84,30,13,215,80,39,183,47,34,45,444
Kees Moeliker,1306390,Rotterdam,Netherlands,Europe,771,19,42,36,21,41,186,162,31,18,38,75,62,31
Rose George,1624716,Kirklees,United Kingdom,Europe,182,27,38,123,8,8,506,141,10,316,70,32,14,200
BLACK,7373875,Liverpool,United Kingdom,Europe,57,533,69,114,36,10,5,410,36,16,625,122,28,514
Ken Robinson,6657858,Liverpool,United Kingdom,Europe,1541,419,559,385,14,8,1233,911,24,1434,252,72,16,3018
Paola Antonelli,934335,Sassari,Italy,Europe,101,32,36,49,12,4,81,87,24,64,7,28,14,69
Lisa Bu,3158067,Berlin,Germany,Europe,193,666,63,279,19,26,209,462,51,211,21,237,13,1373
Raffaello D'Andrea,10281817,Pordenone,Italy,Europe,138,205,932,33,3,9,325,1183,21,47,1237,75,18,551
Didier Sornette,1361404,Paris,France,Europe,1,11,58,24,18,35,222,129,75,148,21,38,14,68
Pico Iyer,3035515,Oxford,United Kingdom,Europe,35,785,43,74,35,12,116,515,23,199,52,103,16,1254
Beardyman,2067955,City of Westminster,United Kingdom,Europe,140,88,207,9,10,16,38,298,36,7,197,56,19,100
George Monbiot,887823,London,United Kingdom,Europe,15,107,42,36,16,4,243,325,25,199,63,12,8,381
Jason Pontin,1507409,City of Westminster,United Kingdom,Europe,4,28,18,48,26,30,171,53,75,140,8,106,15,162
Amanda Bennett,986726,Cambridge,United Kingdom,Europe,8,152,12,169,25,7,19,29,28,32,7,45,6,214
Charles Robertson,1204089,Dublin,Ireland,Europe,3,12,14,13,9,7,180,66,56,97,11,58,12,95
Gian Giudice,1644420,Padua,Italy,Europe,14,63,59,7,18,29,318,443,12,43,108,58,4,84
Mariana Mazzucato,816687,Rome,Italy,Europe,11,21,37,61,41,32,261,121,141,281,27,53,36,109
Grégoire Courtine,926295,Dijon,France,Europe,0,50,186,51,5,3,82,245,9,29,241,18,18,316
David Steindl-Rast,5893321,Vienna,Austria,Europe,27,1732,101,211,111,19,219,418,69,662,62,168,22,3065
Rose George,1430350,Kirklees,United Kingdom,Europe,19,14,20,36,40,16,515,168,25,84,22,114,11,74
Roger Stein,904210,Zurich,Switzerland,Europe,13,9,808,43,2,4,190,117,10,368,46,20,2,112
David Puttnam,871453,London,United Kingdom,Europe,6,20,32,81,26,17,251,66,35,263,10,31,6,206
Christopher Ryan,1981978,London,United Kingdom,Europe,226,95,87,288,17,28,798,505,101,498,59,87,28,246
Matthew Carter,1112914,City of Westminster,United Kingdom,Europe,21,59,60,9,56,15,376,138,19,8,5,123,8,84
Sarah Jones,1506064,London,United Kingdom,Europe,483,141,141,82,73,43,32,101,38,9,48,121,60,135
Marco Tempest,1785193,Zurich,Switzerland,Europe,518,87,147,14,29,31,79,182,123,23,67,189,49,83
Mark Ronson,3061003,London,United Kingdom,Europe,167,309,158,14,43,24,211,279,53,42,32,129,31,238
Simon Sinek,6803938,London,United Kingdom,Europe,50,1149,645,789,45,20,1825,1293,81,1734,154,190,24,8569
Kwame Anthony Appiah,1569284,London,United Kingdom,Europe,79,20,65,31,121,172,169,109,329,75,5,133,35,38
Tim Berners-Lee,1054600,London,United Kingdom,Europe,10,7,17,23,14,32,174,38,29,44,6,132,18,129
