main_speaker,views,speaker_occupation,cluster
Nalini Nadkarni,398835,Tree researcher,Health and Medicine
Eric Lewis,697257,Pianist,Performing Arts and Music
Don Norman,1248458,Cognitive scientist and design critic,Science and Technology
Pattie Maes + Pranav Mistry,9753630,Researcher,Health and Medicine
Aimee Mullins,3472415,Athlete and actor,Arts and Entertainment
Stuart Brown,1625469,"Play researcher, psychiatrist",Health and Medicine
Tim Berners-Lee,1352069,Inventor,Science and Technology
Dan Dennett,2373021,"Philosopher, cognitive scientist",Science and Technology
Dan Ariely,2725557,Behavioral economist,Business and Economics
Kamal Meattle,3095075,Business owner and activist,Social Activism and Human Rights
Saul Griffith,630431,Inventor,Science and Technology
David Pogue,730407,Technology columnist,Science and Technology
John Wooden,4891781,Coach,Philosophy and Thought Leadership
C.K. Williams,246094,Poet,Creative Writing and Storytelling
Jacek Utko,1055886,Newspaper designer,Architecture and Design
Christopher C. Deam,308276,Designer,Architecture and Design
Nathaniel Kahn,338831,Filmmaker,Arts and Entertainment
Bruce Bueno de Mesquita,744448,Political scientist,Science and Technology
Bonnie Bassler,2192828,Molecular biologist,Physical and Earth Sciences
Emily Levine,2049904,Philosopher-comic,Philosophy and Thought Leadership
Gregory Stock,497449,"Author, thinker",Education and Academia
JoAnn Kuchera-Morin,630784,Composer,Performing Arts and Music
Tim Ferriss,2771442,"Investor, human guinea pig, author",Education and Academia
Niels Diffrient,554650,Designer,Architecture and Design
Erik Hersman,403555,Technologist,Science and Technology
Alex Tabarrok,748739,Economist,Business and Economics
Michael Merzenich,1237391,Neuroscientist,Science and Technology
Sarah Jones,1607397,Polymorphic playwright,Arts and Entertainment
Laurie Garrett,425429,Science journalist,Media and Journalism
Sean Gourley,909309,Physicist and military theorist,Physical and Earth Sciences
Mae Jemison,744257,"Astronaut, engineer, entrepreneur, physician and educator",Science and Technology
Al Gore,775430,Climate advocate,Environment and Sustainability
Seth Godin,1985679,Marketer and author,Education and Academia
