main_speaker,views,speaker_occupation,cluster
Michael Bodekaer,1132257,Entrepreneur,Business and Economics
Jennifer Kahn,1498103,Science journalist,Media and Journalism
Uri Hasson,1800490,Neuroscientist,Science and Technology
Sanford Biggers,987388,Conceptual artist,Arts and Entertainment
Kang Lee,6406853,Developmental researcher,Health and Medicine
Laura Indolfi,1183075,Biomedical entrepreneur,Health and Medicine
Sebastian Junger,768077,Journalist and documentarian,Media and Journalism
Juno Mac,1811102,Sex worker and activist,Social Activism and Human Rights
Trevor Timm,1258881,"Writer, activist and legal analyst﻿",Social Activism and Human Rights
Lidia Yuknavitch,2190919,Author,Education and Academia
Mariano Sigman,2275945,Neuroscientist,Science and Technology
Zaria Forman,1078782,Artist,Arts and Entertainment
Adam Driver,3016666,Actor and Marine Corps veteran,Arts and Entertainment
Samantha Nutt,1049990,"Doctor, writer and humanitarian",Health and Medicine
Norman Lear,1025698,"Producer, activist",Social Activism and Human Rights
Cédric Villani,1624428,Mathematician,Science and Technology
Amit Sood,923916,Technologist,Science and Technology
ShaoLan,2028383,"Technologist, entrepreneur",Science and Technology
Sajay Samuel,1116194,Educator,Education and Academia
Negin Farsad,1225718,"Comedian, filmmaker",Arts and Entertainment
Andrew Youn,1173235,Anti-hunger activist,Social Activism and Human Rights
Chris Milk,811599,Immersive storyteller,Creative Writing and Storytelling
Gill Hicks,813426,Survivor and activist,Social Activism and Human Rights
Keolu Fox,809398,"Geneticist, indigenous rights activist",Social Activism and Human Rights
Seema Bansal,1246214,Education innovator,Technology Visionaries and Innovators
Brian Little,4235594,Personality researcher,Health and Medicine
Tom Hulme,1396369,"Designer, venturer",Architecture and Design
Wanda Diaz Merced,803813,Sonic astrophysicist,Physical and Earth Sciences
Blaise Agüera y Arcas,1413042,Software architect,Architecture and Design
Julia Galef,3210972,Writer,Creative Writing and Digital Content
John Legend,1538107,"Singer, musician, composer",Arts and Entertainment
Marwa Al-Sabouni,888896,Architect,Architecture and Design
Alexander Betts,2432449,Social scientist,Science and Technology
Safwat Saleem,1370547,"Artist, graphic designer, filmmaker",Arts and Entertainment
Elise Roy,1162751,"Lawyer, artist, human rights advocate",Arts and Entertainment
Eric Haseltine,1475291,"Author, futurist, innovator",Education and Academia
Emma Marris,990075,Environmental writer,Environment and Sustainability
Shubhendu Sharma,1320671,Eco-entrepreneur,Business and Economics
Lisa Dyson,1258539,Sustainability crusader,Environment and Sustainability
eL Seed,821291,Artist,Arts and Entertainment
Gerard Ryle,997650,Investigative journalist,Media and Journalism
Ed Boyden,1260112,Neuroengineer,Science and Technology
Molly Winter,1507057,Designer,Architecture and Design
Ngozi Okonjo-Iweala,778960,Economist,Business and Economics
Dave Brain,1311426,Planetary scientist,Science and Technology
Monica Araya,1018830,Climate advocate,Environment and Sustainability
Anand Giridharadas,961913,Writer,Creative Writing and Digital Content
Gonzalo Vilariño,443773,"Lawyer, coach",Philosophy and Thought Leadership
Vanessa Ruiz,1257468,Anatomical artist,Arts and Entertainment
Julia Bacha,811955,Filmmaker,Arts and Entertainment
Christopher Bell,1026017,Media studies scholar,Media and Journalism
James Veitch,5711833,Comedian and writer,Arts and Entertainment
Sal Khan,2201195,Educator and social entrepreneur,Education and Academia
Courtney E. Martin,1404984,Journalist,Media and Journalism
David Camarillo,1195181,Bioengineer,Science and Technology
Julie Lythcott-Haims,2603203,"Academic, author",Education and Academia
Michael Shellenberger,1185114,Climate policy expert,Environment and Sustainability
Michael Murphy,1162011,Designer,Architecture and Design
Abigail Marsh,1690453,Psychologist,Health and Medicine
Eric Liu,793098,Civics educator,Education and Academia
David Burkus,1713788,Management researcher,Health and Medicine
Nadia Lopez,1029397,Educator,Education and Academia
Sebastian Kraves,1052018,Biotech entrepreneur,Business and Economics
Rebecca MacKinnon,1053126,Internet freedom activist,Social Activism and Human Rights
J.D. Vance,1077686,Author,Education and Academia
Camille A. Brown,778810,Choreographer and educator,Education and Academia
Oded Shoseyov,1211098,Nanobiotechnologist,Science and Technology
Sam Harris,2592561,"Neuroscientist, philosopher",Science and Technology
Helen Fisher,1593458,"Anthropologist, expert on love",Anthropology and Sociology
Ellen Jorgensen,1400803,"Biologist, community science advocate",Physical and Earth Sciences
Adam de la Zerda,985203,"Biologist, electrical engineer",Science and Technology
Isaac Lidsky,2561564,"Author, entrepreneur",Education and Academia
Rainn Wilson,792297,"Actor, writer",Arts and Entertainment
Ione Wells,1024139,"Writer, activist",Social Activism and Human Rights
Pico Iyer,1477238,Global author,Education and Academia
Trevor Copp and Jeff Fox,571009,Artistic director,Arts and Entertainment
Rachel Botsman,1307557,Trust researcher,Health and Medicine
Todd Coleman,1134472,Bioelectronics innovator﻿,Technology Visionaries and Innovators
Zeynep Tufekci,1194781,Techno-sociologist,Anthropology and Sociology
Manwar Ali,1805897,Peace activist,Social Activism and Human Rights
Tasos Frantzolas,1236485,Entrepreneur,Business and Economics
Christopher Soghoian,1307805,Privacy researcher and activist,Health and Medicine
Kandice Sumner,1181475,Educator,Education and Academia
Mallory Soldner,951340,Data activist,Social Activism and Human Rights
"Amanda Palmer, Jherek Bischoff, Usman Riaz",738590,"Musician, blogger",Arts and Entertainment
Jonathan Haidt,1515162,Social psychologist,Health and Medicine
Fawn Qiu,1047389,Technologist,Science and Technology
Hector Garcia,990521,Psychologist,Health and Medicine
Bettina Warburg,1985742,Blockchain entrepreneur and researcher,Health and Medicine
Steven Johnson,1122671,Writer,Creative Writing and Digital Content
Victor Rios,1158432,"Educator, author",Education and Academia
Roger Antonsen,1910593,"Logician, mathematician, computer scientist",Science and Technology
Sandi Toksvig,799891,"Broadcast personality, politician, author",Education and Academia
Adam Galinsky,3225186,Social psychologist,Health and Medicine
"Alicia Garza, Patrisse Cullors and Opal Tometi",782276,"Writer, activist",Social Activism and Human Rights
Ryan Gravel,825412,"Urban planner, designer, author",Education and Academia
Kate Adams,1381604,Digital storyteller,Creative Writing and Storytelling
Tiq Milan and Kim Katrin Milan,1172873,Transgender activist,Social Activism and Human Rights
Natalie Panek,962489,"Rocket scientist, explorer",Science and Technology
Jia Jiang,3464767,"Author, blogger, entrepreneur",Education and Academia
Kevin B. Jones,888652,Cancer researcher,Health and Medicine
Kevin Kelly,1389133,Digital visionary,Science and Technology
Rebecca Brachman,1173589,"Neuroscientist, writer, entrepreneur",Science and Technology
Dena Simmons,1005451,Educator,Education and Academia
Laura Vanderkam,4864165,Author,Education and Academia
David Autor,1232506,Economist,Business and Economics
Chinaka Hodge,1119309,"Writer, educator",Education and Academia
Anjali Tripathi,975597,Astrophysicist,Physical and Earth Sciences
James Beacham,1430257,Experimental particle physicist,Physical and Earth Sciences
Adam Grant,3535736,Organizational psychologist,Health and Medicine
Sam Kass,1345520,Food entrepreneur,Business and Economics
Sofia Jawed-Wessel,1614524,Sex researcher,Health and Medicine
Mandy Len Catron,1802516,Writer,Creative Writing and Digital Content
George Tulevski,1284067,Materials scientist,Science and Technology
Alejandro Sánchez Alvarado,1059199,Developmental and regeneration biologist,Physical and Earth Sciences
Sisonke Msimang,1147037,"Writer, activist",Social Activism and Human Rights
Jennifer Brea,1406574,Filmmaker,Arts and Entertainment
Ashley Judd,1422701,"Actor, activist",Arts and Entertainment
Emily Parsons-Lord,827288,Artist,Arts and Entertainment
Robb Willer,1243853,Social psychologist,Health and Medicine
Paul Knoepfler,1082248,Biologist,Physical and Earth Sciences
Jeanne Gang,1035995,Architect,Architecture and Design
Deeyah Khan,1195885,Filmmaker,Arts and Entertainment
Deepika Kurup,958917,"Inventor, student scientist",Science and Technology
Sue Klebold,2359347,Activist,Social Activism and Human Rights
Nagin Cox,1374091,Spacecraft operations engineer,Science and Technology
Maurice Conti,2759051,"Designer, futurist",Architecture and Design
Thordis Elva and Tom Stranger,3950921,Writer,Creative Writing and Digital Content
Jeff Speck,1354647,Urban planner,Architecture and Design
Aala El-Khani,896491,Humanitarian psychologist,Health and Medicine
Miriam Zoila Pérez,793925,"Writer, activist",Social Activism and Human Rights
Amy Adele Hasinoff,1240167,Communications researcher,Health and Medicine
Lara Setrakian,942996,Journalist,Media and Journalism
Salil Dudani,944259,Legal activist,Social Activism and Human Rights
Grady Booch,1362265,"Scientist, philosopher",Science and Technology
Charity Wayua,952784,Public sector researcher,Health and Medicine
Stacy Smith,891398,Media researcher,Health and Medicine
Ani Liu,760537,"Designer, artist",Arts and Entertainment
Jeff Kirschner,1004810,Entrepreneur,Business and Economics
Lux Narayan,1395806,Entrepreneur,Business and Economics
Kathy Hull,890330,Pediatric psychologist,Health and Medicine
Sara Ramirez,804359,"Singer, songwriter, actress",Creative Writing and Digital Content
Carrie Poppy,1257858,"Writer, radio host, comedian",Arts and Entertainment
Megan Phelps-Roper,4503368,"Writer, activist",Social Activism and Human Rights
Caroline Paul,1465808,Author,Education and Academia
Joy Buolamwini,869310,Poet of code,Creative Writing and Storytelling
John Koenig,1173364,Writer,Creative Writing and Digital Content
Peggy Orenstein,1750573,"Journalist, author",Education and Academia
Dan Bell,1707855,Filmmaker,Arts and Entertainment
Peter Weinstock,882840,Pediatric ICU doctor,Health and Medicine
Michele L. Sullivan,1257054,Social innovator,Technology Visionaries and Innovators
Margaret Bourdeaux,869734,"Physician, global health policy analyst",Health and Medicine
Simon Anholt,908666,Policy advisor,Public Policy and Governance
Mona Chalabi,1405468,Data journalist,Media and Journalism
Ashton Cofer,1057942,Youth inventor,Science and Technology
Katie Hinde,1107309,Lactation researcher,Health and Medicine
Michael Botticelli,1247655,Drug policy expert,Public Policy and Governance
Emtithal Mahmoud,822049,Poet,Creative Writing and Storytelling
"Gretchen Carlson, David Brooks",890478,"TV journalist, women's empowerment advocate",Media and Journalism
Katie Bouman,1502615,Imaging scientist,Science and Technology
David R. Williams,1005076,Public health sociologist,Anthropology and Sociology
Giorgia Lupi,1077662,Information designer,Architecture and Design
Siamak Hariri,1098436,Architect,Architecture and Design
Amy Green,1156126,Video game designer,Architecture and Design
"Curtis ""Wall Street"" Carroll",2198889,Financial literacy advocate,Business and Economics
Stephanie Busari,1036236,Journalist,Media and Journalism
Siddhartha Roy,872015,Environmental engineer,Science and Technology
Lisa Genova,2178534,"Neuroscientist, novelist",Science and Technology
Elon Musk,5666038,Serial entrepreneur,Business and Economics
Sangu Delle,1460852,Entrepreneur,Business and Economics
Karim Abouelnaga,973376,Education entrepreneur,Business and Economics
Robert Sapolsky,1158707,"Neuroscientist, primatologist, writer",Science and Technology
Jorge Drexler,626886,"Musician, poet",Arts and Entertainment
Kate Stafford,975412,Oceanographer,Science and Technology
Shah Rukh Khan,4642478,"Actor, producer, activist",Arts and Entertainment
Ted Halstead,1022042,"Policy entrepreneur, climate expert, author",Education and Academia
Wendy Troxel,1219828,Sleep researcher,Health and Medicine
T. Morgan Dixon and Vanessa Garrison,907047,Health activist,Social Activism and Human Rights
Anthony D. Romero,925733,"Attorney, public-interest activist",Social Activism and Human Rights
Nina Fedoroff,841955,Molecular biologist,Physical and Earth Sciences
Rhiannon Giddens,946815,Musician,Arts and Entertainment
Michael Bierut,1323235,"Designer, critic",Architecture and Design
Michael Patrick Lynch,1264166,Philosopher,Philosophy and Thought Leadership
Justin Davidson,1162505,Architecture critic,Architecture and Design
Mehdi Ordikhani-Seyedlar,1781721,Neuroscientist,Science and Technology
Tim Ferriss,3183828,"Investor, human guinea pig, author",Education and Academia
Richard Browning,1297943,"Founder, Gravity",Technology Visionaries and Innovators
Katrina Spade,977590,"Inventor, designer, death care advocate",Science and Technology
Sharon Terry,1015849,Citizen biomedical researcher,Health and Medicine
Anab Jain,1259603,"Futurist, designer",Architecture and Design
Sinéad Burke,1069469,"Writer, educator",Education and Academia
Cheyenne Cochrane,1081270,Storyteller,Creative Writing and Storytelling
Luma Mufleh,1354522,Refugee activist,Social Activism and Human Rights
Manu Prakash,1034009,"Physicist, inventor",Science and Technology
Rabbi Lord Jonathan Sacks,1244502,Religious leader,Spiritual and Religious Leadership
Jorge Ramos,383080,"Journalist, news anchor",Media and Journalism
Liz Hajek,1031716,Geoscientist,Science and Technology
Adam Alter,1858990,Psychologist,Health and Medicine
Kate Marvel,907844,Climate scientist,Science and Technology
Anil Seth,2664733,Cognitive neuroscientist,Science and Technology
Tricia Wang,1103163,Technology ethnographer,Science and Technology
Susan Robinson,1026708,"Business executive, entrepreneur",Business and Economics
Grace Kim,1363680,Architect,Architecture and Design
Kristen Marhaver,956539,Coral reef biologist,Physical and Earth Sciences
Titus Kaphar,890748,Artist,Arts and Entertainment
Ingrid Betancourt,526794,"Writer, peace advocate",Creative Writing and Digital Content
Joseph Redmon,1164777,Computer scientist,Science and Technology
Tom Gruber,1139827,AI product designer,Architecture and Design
Anjan Chatterjee,1436714,Cognitive neuroscientist,Science and Technology
Ashton Applewhite,967704,"Author, activist",Education and Academia
David Baron,1319327,Science writer,Creative Writing and Digital Content
Jon Boogz and Lil Buck,182975,Movement artist,Arts and Entertainment
Anne Madden,888252,"Microbiologist, inventor and strategist",Science and Technology
Damon Davis,721731,Artist and filmmaker,Arts and Entertainment
Ronald Sullivan,552732,Clinical professor of law,Education and Academia
Jack Conte,734095,"Musician, entrepreneur",Arts and Entertainment
Peter Calthorpe,834190,Urban designer,Architecture and Design
Susan Pinker,1159426,Developmental psychologist,Health and Medicine
Anika Paulson,691593,"Student, musician",Arts and Entertainment
Cathy O'Neil,761258,"Mathematician, data scientist",Science and Technology
Iyad Rahwan,659384,Computational social scientist,Science and Technology
David Whyte,643011,"Poet, author",Education and Academia
Robin Hanson,840855,"Futurist, social scientist",Science and Technology
Carolyn Bertozzi,727807,Chemical biologist,Physical and Earth Sciences
Laolu Senbanjo,636463,"Artist, musician, lawyer, activist",Arts and Entertainment
Niki Okuk,744793,Entrepreneur,Business and Economics
Wanuri Kahiu,522917,"Filmmaker, writer",Arts and Entertainment
Chetan Bhatt,857850,"Sociologist, human rights activist",Social Activism and Human Rights
Daan Roosegaarde,591131,Artist,Arts and Entertainment
Erin Marie Saltman,665328,Policy researcher,Health and Medicine
Tomás Saraceno,248411,Artist,Arts and Entertainment
Benjamin Grant,646174,Author,Education and Academia
OluTimehin Adegbeye,707788,"Writer, activist",Social Activism and Human Rights
Emily Esfahani Smith,1009069,Author,Education and Academia
Alexander Wagner,621431,Economist,Business and Economics
Helen Czerski,656791,Physicist,Physical and Earth Sciences
Sethembile Msezane,542088,Artist,Arts and Entertainment
Jun Wang,534824,Genomics researcher,Health and Medicine
Olúfẹ́mi Táíwò,418368,"Historian, philosopher",Philosophy and Thought Leadership
Duarte Geraldino,450430,Journalist,Media and Journalism
Armando Azua-Bustos,417470,Astrobiologist,Physical and Earth Sciences
Karoliina Korppoo,391721,Game designer,Architecture and Design
